god. I II III IV V VI VII VIII IX X XI XII sr.god
1961 1.0 3.6 9.4 15.3 14.8 21.4 21.2 21.8 18.9 14.9 8.8 1.1 12.7
1962 2.0 0.7 2.9 13.2 18.0 18.9 21.0 23.5 17.6 12.8 7.4 -0.8 11.4
1963 -5.2 -1.8 5.0 12.7 17.5 22.2 23.8 24.1 19.2 12.3 12.3 -1.8 11.7
1964 -5.5 1.2 4.7 12.7 15.7 22.7 21.2 20.4 16.8 13.3 8.1 2.7 11.2
1965 2.0 -2.4 7.6 10.1 16.0 20.1 22.8 19.9 19.1 11.3 6.7 4.8 11.5
1966 -2.5 9.1 6.2 14.1 16.7 19.7 21.4 21.4 18.0 17.0 6.4 3.2 12.6
1967 -1.5 3.2 8.7 11.5 17.2 19.3 23.1 22.2 19.2 14.9 7.7 0.6 12.2
1968 -0.8 5.6 7.4 15.2 19.3 21.3 21.4 19.5 16.9 12.1 8.2 0.3 12.2
1969 -1.9 1.7 4.3 11.6 20.2 18.9 20.6 20.6 18.1 12.0 10.8 -1.5 11.2
1970 1.1 2.5 6.6 12.6 14.6 20.2 20.8 21.2 16.6 11.1 9.5 2.6 11.6
1971 1.7 3.5 4.3 13.0 19.1 19.7 21.5 22.6 14.7 10.7 7.2 3.4 11.8
1972 0.4 3.9 5.6 11.0 18.1 20.1 22.1 21.4 18.5 11.4 4.5 2.4 11.6
1973 0.4 3.9 5.6 11.0 18.1 20.1 22.1 21.4 18.5 11.4 4.5 2.4 11.6
1974 2.0 7.0 8.9 10.9 15.2 18.4 20.9 22.9 18.3 9.2 7.1 3.6 12.0
1975 3.7 2.1 10.7 12.2 18.0 19.5 21.4 20.1 19.5 11.6 5.0 2.4 12.2
1976 1.4 0.4 4.0 12.6 16.7 18.6 21.7 18.1 16.3 12.7 8.5 3.5 11.2
1977 3.4 7.9 10.6 11.1 17.8 20.7 21.7 20.9 15.0 12.7 7.8 -0.7 12.4
1978 1.8 2.2 8.3 11.4 15.0 19.0 20.8 20.0 15.5 11.8 2.6 3.5 11.0
1979 0.2 3.5 10.4 10.9 17.4 22.0 20.0 20.1 17.7 11.3 7.5 5.4 12.2
1980 -1.6 2.7 6.6 9.3 14.3 19.6 20.8 20.4 16.4 13.2 6.0 1.1 10.7
1981 -1.4 2.4 10.1 11.9 16.6 20.9 21.2 21.3 18.3 14.0 5.6 2.8 12.0
1982 -0.4 0.0 6.6 9.1 18.9 21.5 21.4 21.2 20.6 13.7 6.6 5.2 12.0
1983 4.9 2.0 9.0 15.0 18.7 19.1 23.1 22.1 17.2 11.8 3.8 2.2 12.4
1984 2.1 1.3 5.6 11.2 16.8 18.8 20.0 20.2 18.8 14.1 7.0 1.5 11.5
1985 -3.4 -3.1 5.7 12.8 19.0 17.7 22.6 22.4 17.6 11.1 5.5 6.6 11.2
1986 2.7 -1.4 5.6 15.1 18.9 19.4 19.8 23.1 18.1 12.1 6.3 1.0 11.7
1987 -2.7 2.8 1.6 12.0 15.2 20.9 24.8 20.7 21.3 13.0 8.0 3.2 11.8
1988 4.6 4.8 6.4 11.3 17.6 20.1 24.5 23.3 18.0 11.9 1.3 2.9 12.2
1889 0.3 5.3 10.4 15.0 15.8 18.2 22.3 21.6 17.2 12.6 6.0 3.7 12.4
1990 1.3 7.2 11.1 12.3 18.1 20.5 21.8 22.4 16.2 13.9 8.6 2.2 13.0
